,index,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccccc7)cc6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,0,15.05583354,15.05583354,0.043850206,-6.069362727,0.093782774,14.19047619,848.799,818.559,848.2109768,310,0,0.410722206,-0.288136969,0.410722206,0.288136969,0.444444444,0.873015873,1.396825397,19.42486499,9.714010321,2.725651724,-2.381857448,2.567104162,-2.545221805,6.342039124,-0.288236605,3.706808341,1.007331293,2983.059373,44.26020882,32.5911514,32.5911514,30.15103681,19.46009723,19.46009723,15.03150397,15.03150397,11.40723816,11.40723816,8.259063859,8.259063859,-7.86,1.28601E+14,40.54096757,15.24565815,6.89163232,355.3061787,0,0,0,5.414990469,23.62871892,12.35259703,24.49493734,4.899909731,26.34249029,0,133.4600755,98.11839047,0,27.94119224,45.52063902,40.96522983,0,5.316788604,0,17.7675875,4.899909731,219.9293413,0,22.25380597,10.21669833,32.02987656,0,0,35.98131595,5.414990469,0,69.24921216,169.8582779,0,33.9029306,0,83.55,69.21356388,19.17814874,26.34249029,11.25083777,40.79519656,45.02018055,12.13273414,12.13273414,78.11319343,42.47422252,0,90.33500122,0,52.44468231,1.850241924,-2.01823164,-4.192432699,45.53034274,-10.03293719,0,0,0.058823529,63,1,6,0,2,2,7,0,7,4,1,12,8,0,0,0,9,11.7044,225.8817,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccccc7)cc6)cc5)cc3)C4=O)ccc21,1,13.65941851,13.65941851,0.284499071,-0.454195019,0.132726249,13.55555556,698.778,668.538,698.2205574,256,0,0.265664975,-0.288136801,0.288136801,0.265664975,0.407407407,0.851851852,1.444444444,16.18187404,9.924048424,2.368223942,-2.147181389,2.350059807,-2.287222501,6.344025962,0.087423034,3.658412675,0.963307189,2662.620758,36.76020882,28.82336456,28.82336456,26.40701988,17.57620381,17.57620381,13.28598583,13.28598583,10.02412602,10.02412602,7.169639641,7.169639641,-7.44,3.99701E+12,32.46621641,13.27194921,5.817206031,311.21814,0,0,0,0,23.62871892,0,24.49493734,4.899909731,0,0,133.4600755,98.11839047,0,27.94119224,19.17814874,40.96522983,0,5.316788604,0,0,4.899909731,208.8024384,0,33.38070895,10.21669833,5.687386275,0,0,23.62871892,0,0,58.12230918,169.8582779,0,45.02983359,0,83.55,23.62871892,19.17814874,0,11.12690298,27.94119224,38.95381348,10.46336122,48.53093655,48.53093655,84.18921353,0,0,0,52.56125725,2.294913567,11.69131324,-1.698833014,55.11101023,2.207005398,0,0,0,54,1,6,0,2,2,7,0,7,4,1,6,7,0,0,0,9,9.9607,211.9857,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(c1ccc2c(c1)C(=O)NC2=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(/C(=C\c4ccccc4)c4ccc(-c5ccccc5)cc4)cc3)cc1)C2=O,2,13.64445741,13.64445741,0.114503191,-0.570177057,0.095561701,13.42857143,726.788,696.548,726.2154721,266,0,0.265666978,-0.288615115,0.288615115,0.265666978,0.428571429,0.875,1.464285714,16.18229121,9.924048392,2.372200733,-2.147099261,2.336913349,-2.287411064,6.346675395,0.087403024,3.683036963,0.949334049,2770.679907,38.33755909,29.73161285,29.73161285,27.31770348,18.03032795,18.03032795,13.61510997,13.61510997,10.21517008,10.21517008,7.259658616,7.259658616,-7.77,9.71413E+12,34.02647701,13.89571044,6.128075375,321.7446042,0,0,5.783244946,0,23.62871892,0,29.28947452,4.899909731,0,0,133.4600755,86.99148749,11.12690298,27.94119224,23.97268592,46.74847478,0,5.316788604,0,0,4.899909731,219.9293413,0,22.25380597,10.21669833,5.687386275,0,0,29.41196386,0,0,74.04374935,169.8582779,0,33.9029306,0,100.62,29.41196386,23.97268592,0,33.38070895,5.687386275,49.4171747,36.39820241,12.13273414,48.53093655,84.18921353,0,0,0,65.72015383,2.211435707,9.93705856,-2.548704243,53.32060906,2.192780421,0,0,0,56,1,7,0,2,2,7,0,7,5,1,7,8,0,0,0,9,9.5247,216.4242,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccccc7)cc6)cc5)cc4)c(=O)c3cc12,3,13.2737975,13.2737975,0.103254262,-0.573599587,0.196508372,11.79166667,622.68,596.472,622.1892573,228,0,0.265668803,-0.288136439,0.288136439,0.265668803,0.458333333,0.875,1.354166667,16.15902673,9.924162055,2.179807287,-2.119499868,2.306539509,-2.227435574,5.977751903,0.991111697,3.5607836,1.119752088,2619.874937,32.77708116,25.51396349,25.51396349,23.44069338,15.5048366,15.5048366,11.70863556,11.70863556,8.809346832,8.809346832,6.301996405,6.301996405,-6.66,1.67147E+11,28.78915831,11.60707508,5.018979141,273.3948651,0,0,0,0,22.23706758,0,24.16212726,4.567099648,0,0,121.3273414,74.85875335,0,27.23228313,0,33.19402149,0,9.551078169,0,0,0,203.6983804,0,27.94119224,22.23706758,0,0,0,9.551078169,0,0,16.69035448,164.7709584,0,61.13521374,0,89,22.23706758,19.17814874,0,21.54489686,5.687386275,43.52091313,17.69618563,12.13273414,48.53093655,83.85640345,0,1.082155384,0,52.97916743,0.423791131,6.794652009,0,47.35873159,2.19483579,0,0,0,48,1,6,0,0,0,6,2,8,5,1,6,6,0,0,0,8,7.3511,193.3127,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccc5nc(-c6ccc(-c7nc8ccccc8[nH]7)cc6)[nH]c5c3)C4=O)ccc21,4,13.60498584,13.60498584,0.262468522,-0.46067389,0.207863882,13.95652174,600.594,580.434,600.1546031,218,0,0.265666196,-0.337950652,0.337950652,0.265666196,0.47826087,1.043478261,1.760869565,16.18188579,9.969591368,2.370520817,-2.131476065,2.343727279,-2.287523064,6.345628292,0.087423752,3.833754416,1.001393223,2457.832395,31.10335457,23.78958852,23.78958852,22.40701988,14.49456325,14.49456325,11.21646128,11.21646128,8.500592245,8.500592245,6.151242442,6.151242442,-6.68,81806212318,25.78546918,9.407801553,3.833718169,259.2846162,9.967957042,11.648809,0,0,23.62871892,0,24.49493734,14.86786677,0,0,48.53093655,65.7242066,11.12690298,50.00799511,19.17814874,51.38290806,0,25.25270269,0,0,4.899909731,125.3820461,0,33.90261496,10.21669833,5.687386275,0,0,43.564633,0,0,41.4319547,103.1282402,0,55.96941783,0,140.91,23.62871892,19.17814874,0,16.69035448,39.23554668,32.88461865,0,54.59730362,48.53093655,20.26872417,4.983978521,0,0,68.36954684,2.281378219,7.935626999,-0.33259239,30.912707,0,0,0,0,46,3,10,0,2,2,5,2,7,6,3,10,4,0,0,0,9,6.1244,171.4321,0,0,0,0,0,4,2,0,0,0,4,4,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc5nc(-c6ccc(-c7nc8ccccc8[nH]7)cc6)[nH]c5c3)C4=O)ccc21,5,13.53909881,13.53909881,0.191222642,-0.500902732,0.19353089,13.82978723,616.593,596.433,616.1495177,224,0,0.265783269,-0.457330383,0.457330383,0.265783269,0.531914894,1.127659574,1.85106383,16.48078288,10.09285227,2.371349171,-2.131415744,2.346279727,-2.287497022,6.343852758,0.087421023,3.83765603,0.967826522,2478.988264,31.81046135,24.19783682,24.19783682,22.89018312,14.65281155,14.65281155,11.21257761,11.21257761,8.345890831,8.345890831,6.013397008,6.013397008,-6.88,1.27411E+11,26.51596147,9.810859828,4.212461924,264.3981614,14.70482,23.14783266,0,0,23.62871892,0,24.49493734,14.86786677,0,0,36.39820241,66.73003775,11.12690298,50.00799511,23.91501169,51.38290806,0,25.25270269,0,0,4.899909731,125.3820461,0,34.27473565,14.95356129,5.687386275,11.49902367,0,43.564633,0,0,41.4319547,103.1282402,0,44.84251485,0,150.14,23.62871892,19.17814874,0,22.25380597,34.04421587,32.88461865,24.26546827,30.33183534,48.53093655,20.26872417,9.720841475,5.893803474,0,67.99279256,2.239925327,6.346171878,0.130068304,30.06390512,0,0,0,0,47,3,11,0,2,2,5,2,7,7,3,11,5,0,0,0,9,6.2497,172.5121,0,0,0,0,0,4,2,0,0,0,4,4,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,5,0,4,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(c1ccc2c(c1)C(=O)NC2=O)c1ccc2c(c1)C(=O)N(c1ccc3nc(-c4ccc(-c5nc6ccccc6[nH]5)cc4)[nH]c3c1)C2=O,6,13.59002473,13.59002473,0.092472642,-0.575717547,0.163240955,13.79166667,628.604,608.444,628.1495177,228,0,0.265668199,-0.337950652,0.337950652,0.265668199,0.541666667,1.125,1.833333333,16.18230337,9.964014581,2.374383599,-2.13132955,2.326266596,-2.287711067,6.348232455,0.087403707,3.865400535,0.982383749,2564.531846,32.68070484,24.69783682,24.69783682,23.31770348,14.9486874,14.9486874,11.54558543,11.54558543,8.691636306,8.691636306,6.241261416,6.241261416,-7.01,1.99121E+11,27.3127763,9.994936374,4.111443631,269.8110804,9.967957042,11.648809,5.783244946,0,23.62871892,0,29.28947452,14.86786677,0,0,48.53093655,54.59730362,22.25380597,50.00799511,23.97268592,57.16615301,0,25.25270269,0,0,4.899909731,136.5089491,0,22.77571198,10.21669833,5.687386275,0,0,49.34787795,0,0,57.35339487,103.1282402,0,44.84251485,0,157.98,29.41196386,23.97268592,0,33.38070895,22.54519221,32.88461865,36.39820241,18.19910121,48.53093655,20.26872417,4.983978521,0,0,81.39864587,2.199014519,6.192568266,-1.237837325,29.28094201,0,0,0,0,48,3,11,0,2,2,5,2,7,7,3,11,5,0,0,0,9,5.6884,175.8706,0,0,0,0,0,4,2,0,0,0,5,5,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(c2cccc(C(C)C)c2)c2ccc(-n3c(=O)c4cc5c(=O)[nH]c(=O)c5cc4c3=O)c(C(C)C)c2)cc1,7,13.65387657,13.65387657,0.002119919,-0.562587891,0.248834553,12.64285714,556.662,524.406,556.2362075,210,0,0.265678471,-0.288136439,0.288136439,0.265678471,0.571428571,1.119047619,1.69047619,16.15903878,9.817330896,2.234795686,-2.229601199,2.361126617,-2.247319619,5.975515078,0.827354969,3.388740954,1.57494065,2114.727167,29.86915005,24.31781106,24.31781106,20.04462165,14.27556254,14.27556254,11.81381077,11.81381077,8.310201044,8.310201044,5.971557772,5.971557772,-4.84,3024288412,27.33577207,10.21257271,4.437063879,242.1599324,0,0,0,0,22.23706758,0,24.16212726,4.567099648,0,0,93.92207098,64.77590796,5.917906046,27.23228313,0,21.54489686,0,9.551078169,0,52.37240414,0,153.6586972,0,5.687386275,22.23706758,0,0,0,9.551078169,0,6.9237372,78.82937589,98.04092063,0,27.23228313,0,89,22.23706758,19.17814874,0,33.38070895,11.60529232,16.69035448,33.39018826,0,25.98020854,80.35249374,0,1.182138658,0,53.98975841,0.492895574,5.073294051,0.33481396,25.90373493,0,10.52336442,0,0.222222222,42,1,6,0,0,0,4,2,6,5,1,6,6,0,0,0,6,6.16362,169.3277,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(c2cccc(C(C)C)c2)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)NC6=O)cc4C3=O)c(C(C)C)c2)cc1,8,14.03949758,14.03949758,0.02848151,-0.44690281,0.143642871,14.52083333,632.76,596.472,632.2675076,238,0,0.265674644,-0.288136801,0.288136801,0.265674644,0.520833333,1.104166667,1.791666667,16.18190524,9.816561242,2.384325229,-2.250467136,2.403126767,-2.302348402,6.346111564,0.087420445,3.508768291,1.281881389,2159.726303,33.85227771,27.62721214,27.62721214,23.01094815,16.34692975,16.34692975,13.39116104,13.39116104,9.524980233,9.524980233,6.839201009,6.839201009,-5.62,72883343775,31.00346235,11.87437744,5.234098606,279.9832073,0,0,0,0,23.62871892,0,24.49493734,4.899909731,0,0,106.0548051,88.03554508,5.917906046,27.94119224,19.17814874,29.31610519,0,5.316788604,0,52.37240414,4.899909731,158.7627551,0,11.12690298,10.21669833,5.687386275,0,0,23.62871892,0,6.9237372,120.2613306,103.1282402,0,11.12690298,0,83.55,11.81435946,19.17814874,0,23.65017155,44.98600127,11.12690298,27.1537157,36.39820241,12.13273414,94.53277822,0,0,0,53.51486618,2.308607649,10.00976244,-1.245696685,33.61191026,0,10.63388349,0,0.19047619,48,1,6,0,2,2,5,0,5,4,1,6,7,0,0,0,7,8.77322,188.0007,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(c2cccc(C(C)C)c2)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)NC6=O)cc4C3=O)c(C(C)C)c2)cc1,9,13.97361055,13.97361055,0.016401421,-0.488835058,0.134026046,14.3877551,648.759,612.471,648.2624223,244,0,0.265791717,-0.457330383,0.457330383,0.265791717,0.551020408,1.142857143,1.836734694,16.48077863,9.816562879,2.385152193,-2.250426933,2.404109016,-2.302324681,6.344352761,0.087417751,3.509150498,1.237114738,2180.601529,34.5593845,28.03546043,28.03546043,23.49411139,16.50517804,16.50517804,13.38727737,13.38727737,9.37027882,9.37027882,6.701355574,6.701355574,-5.82,1.1336E+11,31.76279707,12.32529502,5.712684773,285.0967525,4.736862954,11.49902367,0,0,23.62871892,0,24.49493734,4.899909731,0,0,93.92207098,89.04137623,5.917906046,27.94119224,23.91501169,29.31610519,0,5.316788604,0,52.37240414,4.899909731,158.7627551,0,11.49902367,14.95356129,5.687386275,11.49902367,0,23.62871892,0,6.9237372,120.2613306,103.1282402,0,0,0,92.78,23.62871892,19.17814874,0,34.08961806,23.10431599,16.69035448,33.72299834,24.26546827,12.13273414,94.53277822,4.736862954,5.982153435,0,53.13757698,2.263737168,8.35851716,-0.753454142,32.74392703,0,10.60087569,0,0.19047619,49,1,7,0,2,2,5,0,5,5,1,7,8,0,0,0,7,8.89852,189.0807,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(c2cccc(C(C)C)c2)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)NC6=O)cc4C3=O)c(C(C)C)c2)cc1,10,14.02453647,14.02453647,0.0176315,-0.563649873,0.10248285,14.34,660.77,624.482,660.2624223,248,0,0.265676647,-0.288615115,0.288615115,0.265676647,0.56,1.14,1.82,16.18232127,9.816561308,2.387690181,-2.250453941,2.398448513,-2.30250715,6.348679074,0.087400554,3.538948252,1.255456205,2264.30847,35.42962798,28.53546043,28.53546043,23.92163175,16.80105389,16.80105389,13.72028519,13.72028519,9.716024295,9.716024295,6.929219983,6.929219983,-5.95,1.77461E+11,32.58997751,12.49566407,5.544357039,290.5096715,0,0,5.783244946,0,23.62871892,0,29.28947452,4.899909731,0,0,106.0548051,76.90864209,17.04480903,27.94119224,23.97268592,35.09935014,0,5.316788604,0,52.37240414,4.899909731,169.8896581,0,0,10.21669833,5.687386275,0,0,29.41196386,0,6.9237372,136.1827708,103.1282402,0,0,0,100.62,29.41196386,23.97268592,0,45.21652104,11.60529232,22.25380597,52.42501513,0,25.98020854,80.68530382,0,0,0,66.76606258,2.222826359,8.228907067,-2.183731592,31.94145659,0,10.52447899,0,0.186046512,50,1,7,0,2,2,5,0,5,5,1,7,8,0,0,0,7,8.33722,192.4392,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(c2cccc(C(C)C)c2)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)NC6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C(C)C)c2)cc1,11,15.15697843,15.15697843,0.145643539,-6.067974916,0.096529358,15.07017544,782.781,746.493,782.257927,292,0,0.410722206,-0.288136969,0.410722206,0.288136969,0.526315789,1.052631579,1.649122807,19.42485673,9.71400769,2.725724657,-2.381873168,2.567979237,-2.545224383,6.344161906,-0.288235889,3.568038514,1.348111015,2469.64094,41.35227771,31.39499898,31.39499898,26.75496508,18.23082317,18.23082317,15.13667918,15.13667918,10.90809237,10.90809237,7.928625227,7.928625227,-6.04,2.35345E+12,39.20435539,13.85839762,6.309146899,324.071246,0,0,0,5.414990469,23.62871892,12.35259703,24.49493734,4.899909731,26.34249029,0,106.0548051,88.03554508,5.917906046,27.94119224,45.52063902,29.31610519,0,5.316788604,0,70.13999164,4.899909731,169.8896581,0,0,10.21669833,32.02987656,0,0,35.98131595,5.414990469,6.9237372,131.3882336,103.1282402,0,0,0,83.55,63.65011239,19.17814874,26.34249029,34.5680074,29.82891977,44.84990133,0,12.13273414,68.55256968,25.98020854,0,90.9418706,0,53.37814057,1.861632576,-3.841646354,-4.412076488,24.91208839,-12.13594983,9.87927387,0,0.244444444,57,1,6,0,2,2,5,0,5,4,1,12,8,0,0,0,7,10.51692,201.8967,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,4,0,1,1,0,0,0,5,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)C2CC3C(=O)N(c4ccc(Oc5ccccc5)cc4)C(=O)C3CC12,12,12.96052363,12.96052363,0.239267714,-0.554958065,0.811911053,28.20689655,390.395,372.251,390.1215717,146,0,0.237207309,-0.457381905,0.457381905,0.237207309,0.689655172,1.206896552,1.75862069,16.48060781,9.699722977,2.573572404,-2.277891168,2.462883636,-2.345089884,6.223351506,-0.129074981,3.14892202,1.367413142,977.2579608,20.12059139,15.40822211,15.40822211,14.02487714,9.581976439,9.581976439,7.671779635,7.671779635,6.056074991,6.056074991,4.619013122,4.619013122,-3.48,6969244.598,17.60714316,6.546219959,2.810300477,166.1897545,4.736862954,11.49902367,0,23.62871892,0,0,29.39484707,0,0,0,18.19910121,49.23984566,0,29.35901046,23.91501169,29.31610519,0,5.316788604,23.67162418,12.84164325,4.899909731,54.59730362,0,11.49902367,14.95356129,5.687386275,11.49902367,0,23.62871892,19.17814874,23.67162418,12.84164325,54.59730362,0,0,0,92.78,23.67162418,19.17814874,0,36.47036216,17.18640994,0,4.899909731,24.26546827,30.33183534,5.316788604,4.736862954,5.747849012,0,51.06471311,2.318825865,0.468286276,-2.128142384,16.04993269,0.478535428,0,0,0.272727273,29,1,7,1,2,3,2,0,2,5,1,7,3,1,2,3,5,2.2671,101.7947,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)C2CC3C(=O)N(c4ccc(-c5ccccc5C(F)(F)F)c(C(F)(F)F)c4)C(=O)C3CC12,13,14.00971311,14.00971311,0.10005006,-5.106978125,0.485673356,26.22222222,510.39,494.262,510.1014263,188,0,0.416583927,-0.295931778,0.416583927,0.295931778,0.666666667,1.166666667,1.694444444,19.4170581,9.699722977,2.576803782,-2.277891157,2.482977619,-2.345089884,6.224801241,-0.138972267,3.22528932,1.563682029,1278.415521,26.15397158,18.11306012,18.11306012,16.78573083,10.8909549,10.8909549,9.033752529,9.033752529,7.071635451,7.071635451,5.43703957,5.43703957,-3.7,89915889.65,24.01474322,7.90305438,3.660350891,198.7993059,0,0,0,23.62871892,0,12.35259703,29.39484707,0,26.34249029,0,24.26546827,42.16764743,0,40.48591344,45.52063902,29.31610519,0,5.316788604,23.67162418,25.19424028,4.899909731,53.59147246,0,11.12690298,10.21669833,32.02987656,0,0,23.62871892,31.53074577,23.67162418,23.96854623,42.46456948,0,11.12690298,0,83.55,87.59413238,45.52063902,0,12.84164325,17.03264387,24.26546827,6.066367068,0,0,5.316788604,0,82.4716472,0,50.80267964,2.162465375,-4.612931673,-6.33489706,6.071583202,-10.22721336,0,0,0.333333333,36,1,6,1,2,3,2,0,2,4,1,12,2,1,2,3,5,4.1794,110.7187,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
